ice,brick,stone,sand,dirt,brick,sand,dirt,brick,ice,brick,ice
stone,sand,dirt,stone,dirt,ice,stone,dirt,ice,brick,ice,brick
dirt,stone,sand,dirt,stone,sand,dirt,stone,sand,ice,sand,brick
sand,brick,dirt,stone,sand,dirt,stone,brick,stone,ice,stone,dirt
brick,dirt,sand,brick,stone,dirt,brick,ice,sand,stone,brick,ice
ice,stone,sand,brick,dirt,stone,dirt,brick,stone,sand,dirt,stone
dirt,stone,ice,dirt,sand,stone,sand,dirt,ice,brick,stone,sand
stone,sand,brick,ice,dirt,stone,dirt,brick,stone,ice,dirt,brick
sand,stone,dirt,sand,brick,stone,brick,dirt,ice,stone,sand,ice
brick,dirt,ice,stone,sand,brick,sand,dirt,stone,dirt,stone,sand
ice,stone,sand,dirt,brick,stone,brick,sand,stone,dirt,ice,brick
dirt,stone,ice,stone,sand,dirt,stone,brick,dirt,ice,sand,stone
